# brand<TAB>ingredient(s) — FULL RxNorm (public domain), dumped from the ingested
# rxnorm_atoms/rxnorm_rel (rxnorm-20260706). ';'-sep combos; loader takes first.
# First ingredient prefers the name PrimeKG uses (via --primekg-names).
# Regenerate: scripts/rxnorm_ingest.py then build_rxnorm_table.py --from-db
aerohist	methscopolamine;chlorpheniramine;chlorphenamine;methylscopolamine
aerolate iii	theophylline;aminophylline (as theophylline)
aerolate jr	theophylline;aminophylline (as theophylline)
aeroseb-dex	dexamethasone
aeroseb-hc	hydrocortisone
aerospan	flunisolide
aerozoin	benzoin compound;compound benzoin tincture (usp)
afeditab cr	nifedipine;nifedipine, micronized
afinitor	everolimus
aflaxen	naproxen
afluria 2015-2016	influenza virus type b;influenza b virus antigen;influenza virus type a (h1n1);influenza virus type a (h3n2);influenza a virus h1n1 antigen;influenza a virus h3n2 antigen;influenza a virus (h1n1) antigen;influenza a virus (h3n2) antigen
afluria 2016-2017	influenza virus type b;influenza b virus antigen;influenza virus type a (h1n1);influenza virus type a (h3n2);influenza a virus h1n1 antigen;influenza a virus h3n2 antigen;influenza a virus (h1n1) antigen;influenza a virus (h3n2) antigen
afluria 2017-2018	influenza virus type b;influenza b virus antigen;influenza virus type a (h1n1);influenza virus type a (h3n2);influenza a virus h1n1 antigen;influenza a virus h3n2 antigen;influenza a virus (h1n1) antigen;influenza a virus (h3n2) antigen
afluria 2018-2019	influenza virus type b;influenza b virus antigen;influenza virus type a (h1n1);influenza virus type a (h3n2);influenza a virus h1n1 antigen;influenza a virus h3n2 antigen;influenza a virus (h1n1) antigen;influenza a virus (h3n2) antigen
afluria 2024-2025	influenza virus type b;influenza b virus antigen;influenza virus type a (h1n1);influenza virus type a (h3n2);influenza a virus h1n1 antigen;influenza a virus h3n2 antigen;influenza a virus (h1n1) antigen;influenza a virus (h3n2) antigen
afluria 2025-2026	influenza virus type b;influenza b virus antigen;influenza virus type a (h1n1);influenza virus type a (h3n2);influenza a virus h1n1 antigen;influenza a virus h3n2 antigen;influenza a virus (h1n1) antigen;influenza a virus (h3n2) antigen
afluria quadrivalent 2017-2018	influenza virus type b;influenza b virus antigen;influenza virus type a (h1n1);influenza virus type a (h3n2);influenza a virus h1n1 antigen;influenza a virus h3n2 antigen;influenza a virus (h1n1) antigen;influenza a virus (h3n2) antigen
afluria quadrivalent 2018-2019	influenza virus type b;influenza b virus antigen;influenza virus type a (h1n1);influenza virus type a (h3n2);influenza a virus h1n1 antigen;influenza a virus h3n2 antigen;influenza a virus (h1n1) antigen;influenza a virus (h3n2) antigen
afluria quadrivalent 2019-2020	influenza virus type b;influenza b virus antigen;influenza virus type a (h1n1);influenza virus type a (h3n2);influenza a virus h1n1 antigen;influenza a virus h3n2 antigen;influenza a virus (h1n1) antigen;influenza a virus (h3n2) antigen
afluria quadrivalent 2020-2021	influenza virus type b;influenza b virus antigen;influenza virus type a (h1n1);influenza virus type a (h3n2);influenza a virus h1n1 antigen;influenza a virus h3n2 antigen;influenza a virus (h1n1) antigen;influenza a virus (h3n2) antigen
afluria quadrivalent 2021-2022	influenza virus type b;influenza b virus antigen;influenza virus type a (h1n1);influenza virus type a (h3n2);influenza a virus h1n1 antigen;influenza a virus h3n2 antigen;influenza a virus (h1n1) antigen;influenza a virus (h3n2) antigen
afluria quadrivalent 2022-2023	influenza virus type b;influenza b virus antigen;influenza virus type a (h1n1);influenza virus type a (h3n2);influenza a virus h1n1 antigen;influenza a virus h3n2 antigen;influenza a virus (h1n1) antigen;influenza a virus (h3n2) antigen
afluria quadrivalent 2023-2024	influenza virus type b;influenza b virus antigen;influenza virus type a (h1n1);influenza virus type a (h3n2);influenza a virus h1n1 antigen;influenza a virus h3n2 antigen;influenza a virus (h1n1) antigen;influenza a virus (h3n2) antigen
afrezza	insulin human;insulin;insulin (human);insulin regular;insulin regular, human;insulin, regular, human;insulin,regular,human/rdna;insulin regular human recombinant;insulin,regular,human/semisynthetic;insulin regular, human semi-synthetic
afrin	oxymetazoline
afrin nasal	phenylephrine
afrinol	pseudoephedrine
afstyla	factor viii;antihemophilic factor;coagulation factor viii;antihaemophilic globulin;antihemophilic factor viii
after banger	levonorgestrel
after-bug	oatmeal;colloidal oatmeal;oatmeal,colloidal
aftera	levonorgestrel
afterpill	levonorgestrel
afterplan	levonorgestrel
agamree	vamorolone
agenerase	amprenavir
aggrastat	tirofiban
aggrenox	dipyridamole;acetylsalicylic acid;aspirin
agoral	mineral oil;phenolphthalein;liquid paraffin;paraffin,liquid;phenpolphthalein;phenolphthalein,white
agrimectin	ivermectin
agrimycin	oxytetracycline
agrylin	anagrelide
ah-chew d	phenylephrine
ahist antihistamine	chlorcyclizine
ahzantive	aflibercept
aimovig	erenumab
airacof	codeine;phenylephrine;diphenhydramine
airduo	salmeterol;fluticasone
airet	salbutamol;albuterol
airmit	dimenhydrinate
airsupra	budesonide;salbutamol;albuterol
ajovy	fremanezumab
ak-chlor	chloramphenicol
ak-cide	prednisolone;sulfacetamide
ak-con	naphazoline
ak-con-a	naphazoline;pheniramine
ak-dex	dexamethasone
ak-dilate	phenylephrine
ak-nefrin	phenylephrine
ak-neo-dex	neomycin;dexamethasone
ak-pentolate	cyclopentolate
ak-pred	prednisolone
ak-pro	dipivefrin;dipivefrine
ak-spore	neomycin;polymyxin b;gramicidin
ak-spore hc	neomycin;polymyxin b;hydrocortisone
ak-sulf	sulfacetamide
ak-taine	proparacaine;proxymetacaine
ak-tracin	bacitracin
ak-trol	neomycin;polymyxin b;dexamethasone
akarpine	pilocarpine
akeega	niraparib;abiraterone
aklief	trifarotene
akne-mycin	erythromycin;erythromycin base
akovaz	ephedrine
akten	lidocaine
aktipak	erythromycin;benzoyl peroxide;erythromycin base
akurza	salicylic acid
akwa tears	mineral oil;lanolin;petrolatum;liquid paraffin;paraffin,liquid;petrolatum,white;white petrolatum;petrolatum, yellow
akynzeo	netupitant;palonosetron
ala seb	salicylic acid;sulfur
ala seb t	salicylic acid;sulfur;coal tar;coal tar,crude
ala-cort	hydrocortisone
ala-hist ac	codeine;phenylephrine
ala-hist ir	dexbrompheniramine
ala-quin	clioquinol;hydrocortisone;iodochlorhydroxyquin
ala-scalp	hydrocortisone
ala-tet	tetracycline
alagesic	caffeine;butalbital;acetaminophen;paracetamol
alahist d	pheniramine;phenylephrine
alamag	aluminum hydroxide;magnesium hydroxide;aluminium hydroxide;aluminum (as hydroxide)
alamag plus	aluminum hydroxide;magnesium hydroxide;simethicone;aluminium hydroxide;aluminum (as hydroxide)
alamast	pemirolast;permirolast
alavert	loratadine;loratadine, micronized
alavert d	loratadine;pseudoephedrine;loratadine, micronized
alaway	ketotifen
albadry	novobiocin;benzylpenicillin;penicillin g
albalon	naphazoline
albamycin	novobiocin
albendamax	albendazole
albenza	albendazole
albon	sulfadimethoxine
albuked	albumin human;albumin,human;albumin human, usp;albumin, normal serum, human
albuminex	albumin human;albumin,human;albumin human, usp;albumin, normal serum, human
alburx	albumin human;albumin,human;albumin human, usp;albumin, normal serum, human
albutein	albumin human;albumin,human;albumin human, usp;albumin, normal serum, human
alcaine	proparacaine;proxymetacaine
alcortin	hydrocortisone;diiodohydroxyquinoline;iodoquinol
alcortin a	hydrocortisone;diiodohydroxyquinoline;iodoquinol;aloe polysaccharide
aldactazide	spironolactone;hydrochlorothiazide
aldactone	spironolactone
aldara	imiquimod
aldex an	doxylamine
aldex d	mepyramine;phenylephrine;pyrilamine
aldex-ct	phenylephrine;diphenhydramine
aldomet	methyldopa;methyldopa (levorotatory)
aldurazyme	laronidase
alecensa	alectinib
alenic alka	aluminum hydroxide;magnesium carbonate;aluminium hydroxide;aluminum (as hydroxide);magnesium (as carbonate)
aler-dryl	diphenhydramine
alera	hydroquinone
alesse	levonorgestrel;ethinylestradiol;ethinyl estradiol
alevazol	clotrimazole
aleve	naproxen
aleve arthritis pain	diclofenac
aleve pm	naproxen;diphenhydramine
alfaxan	alfaxalone
alfenta	alfentanil
alferon n	interferon alfa-n3;interferon alfa-3n
algal-900	docosahexaenoate
alginic compound	aluminum hydroxide;magnesium trisilicate;aluminium hydroxide;aluminum (as hydroxide)
alhemo	concizumab
ali-flex	acetaminophen;phenyltoloxamine;paracetamol
aliclen	salicylic acid
alidrin	acetaminophen;isometheptene;dichloralphenazone;paracetamol
align	bifidobacterium infantis;bifidobacterium longum infantis
alimta	pemetrexed
alinia	nitazoxanide
aliqopa	copanlisib
alka-mints	calcium carbonate;calcarea carbonica;calcium (as carbonate);calcium (as calcium carbonate)
alka-seltzer	citric acid;sodium bicarbonate;acetylsalicylic acid;aspirin
alkeran	melphalan
alkets	calcium carbonate;calcarea carbonica;calcium (as carbonate);calcium (as calcium carbonate)
alkindi	hydrocortisone
alkums	calcium carbonate;calcarea carbonica;calcium (as carbonate);calcium (as calcium carbonate)
all clear	naphazoline
all day c cr	ascorbic acid;vitamin c;ascorbic acid (vit c);vitamin c (ascorbic acid)
allanenzyme	urea;papain;carbamide
allanfillenzyme	urea;papain;carbamide;chlorophyllin copper complex;chlorophyllin (from copper complex)
allay	hydrocodone;acetaminophen;paracetamol
allday	sodium fluoride;fluoride (as sodium);fluoride (as sodium fluoride)
allegra	fexofenadine
